National Instruments Acquisition
Time    Acc002_z    Volt001
0.282715 -0.622547 -1.558764
0.283203 -0.652485 -1.430947
0.283691 -0.685871 -1.302058
0.284180 -0.712737 -1.172549
0.284668 -0.741777 -1.043181
0.285156 -0.765008 -0.917012
0.285645 -0.792136 -0.793526
0.286133 -0.815518 -0.671198
0.286621 -0.829419 -0.549371
0.287109 -0.848529 -0.427782
0.287598 -0.861868 -0.306781
0.288086 -0.870711 -0.187434
0.288574 -0.879592 -0.069538
0.289063 -0.880304 0.046188
0.289551 -0.876706 0.158200
0.290039 -0.872322 0.268979
0.290527 -0.866552 0.379220
0.291016 -0.860819 0.488464
0.291504 -0.846768 0.597699
0.291992 -0.831405 0.705243
0.292480 -0.817354 0.811886
0.292969 -0.793560 0.917755
0.293457 -0.771340 1.021958
0.293945 -0.741102 1.125216
0.294434 -0.708765 1.223239
0.294922 -0.680738 1.319125
0.295410 -0.639183 1.416064
0.295898 -0.596954 1.509103
0.296387 -0.554351 1.598495
0.296875 -0.509911 1.683564
0.297363 -0.467195 1.764071
0.297852 -0.423056 1.839770
0.298340 -0.381801 1.909315
0.298828 -0.337886 1.973217
0.299316 -0.297456 2.029132
0.299805 -0.270590 2.079154
0.300293 -0.246721 2.125765
0.300781 -0.221691 2.167507
0.301270 -0.201157 2.205050
0.301758 -0.186282 2.237889
0.302246 -0.174741 2.265826
0.302734 -0.162676 2.288692
0.303223 -0.158816 2.306623
0.303711 -0.161964 2.322431
0.304199 -0.162488 2.335703
0.304688 -0.167172 2.345369
0.305176 -0.173804 2.352464
0.305664 -0.183734 2.355670
0.306152 -0.199209 2.354758
0.306641 -0.212736 2.351829
0.307129 -0.227724 2.347454
0.307617 -0.245035 2.342002
0.308105 -0.263808 2.335987
0.308594 -0.284791 2.328522
0.309082 -0.306299 2.319696
0.309570 -0.331104 2.310893
0.310059 -0.353174 2.301508
0.310547 -0.370897 2.290448
0.311035 -0.390232 2.276575
0.311523 -0.407356 2.258902
0.312012 -0.425978 2.239776
0.312500 -0.445051 2.220758
0.312988 -0.458128 2.201052
0.313477 -0.468095 2.178903
0.313965 -0.478024 2.153937
0.314453 -0.486980 2.127166
0.314941 -0.494174 2.097679
0.315430 -0.503054 2.066480
0.315918 -0.506389 2.033402
0.316406 -0.502567 1.996540
0.316895 -0.498258 1.956441
0.317383 -0.488703 1.913753
0.317871 -0.473153 1.868424
0.318359 -0.458577 1.819773
0.318848 -0.440742 1.767853
0.319336 -0.419758 1.712925
0.319824 -0.400686 1.655673
0.320313 -0.376368 1.596747
0.320801 -0.350476 1.536009
0.321289 -0.324359 1.473690
0.321777 -0.295882 1.409854
0.322266 -0.264707 1.344577
0.322754 -0.231733 1.278085
0.323242 -0.194226 1.210595
0.323730 -0.150798 1.142231
0.324219 -0.111679 1.074282
0.324707 -0.072373 1.006792
0.325195 -0.028570 0.939799
0.325684 0.020965 0.873887
0.326172 0.066005 0.808672
0.326660 0.107559 0.745278
0.327148 0.159530 0.683475
0.327637 0.213599 0.623338
0.328125 0.266282 0.565324
0.328613 0.314282 0.510004
0.329102 0.362281 0.457956
0.329590 0.410617 0.408009
0.330078 0.458692 0.360774
0.330566 0.508639 0.316050
0.331055 0.553191 0.273680
0.331543 0.598193 0.234190
0.332031 0.637574 0.196461
0.332520 0.677442 0.160932
0.333008 0.723643 0.127480
0.333496 0.763886 0.095123
0.333984 0.804916 0.063876
0.334473 0.844634 0.032902
0.334961 0.883903 0.001913
0.335449 0.922010 -0.028666
0.335938 0.953597 -0.059689
0.336426 0.985559 -0.091971
0.336914 1.016322 -0.125803
0.337402 1.043975 -0.162438
0.337891 1.071028 -0.202951
0.338379 1.098082 -0.247533
0.338867 1.121613 -0.296704
0.339355 1.142709 -0.350933
0.339844 1.156123 -0.410674
0.340332 1.165453 -0.476355
0.340820 1.170437 -0.547697
0.341309 1.156048 -0.625103
0.341797 1.140348 -0.708128
0.342285 1.125510 -0.796354
0.342773 1.105351 -0.891261
0.343262 1.084255 -0.992576
0.343750 1.057427 -1.100493
0.344238 1.029324 -1.214822
0.344727 0.999610 -1.334075
0.345215 0.971133 -1.458230
0.345703 0.941269 -1.586454
0.346191 0.907883 -1.717798
0.346680 0.874872 -1.851473
0.347168 0.841224 -1.986142
0.347656 0.809187 -2.120475
0.348145 0.775052 -2.253381
0.348633 0.742228 -2.383286
0.349121 0.711915 -2.508685
0.349609 0.680140 -2.628899
0.350098 0.651550 -2.743504
0.350586 0.623110 -2.852620
0.351074 0.593884 -2.956251
0.351563 0.560985 -3.054155
0.352051 0.524939 -3.144137
0.352539 0.493389 -3.224835
0.353027 0.458804 -3.296289
0.353516 0.423095 -3.356728
0.354004 0.394655 -3.405652
0.354492 0.362506 -3.443561
0.354980 0.325860 -3.469951
0.355469 0.290338 -3.483345
0.355957 0.251781 -3.484548
0.356445 0.209553 -3.473922
0.356934 0.168523 -3.450178
0.357422 0.131240 -3.415777
0.357910 0.085976 -3.370829
0.358398 0.039775 -3.314660
0.358887 -0.001217 -3.248677
0.359375 -0.043820 -3.172560
0.359863 -0.085974 -3.087349
0.360352 -0.135135 -2.993249
0.360840 -0.184071 -2.891523
0.361328 -0.229298 -2.784570
0.361816 -0.278271 -2.671766
0.362305 -0.327020 -2.554590
0.362793 -0.371871 -2.432210
0.363281 -0.414812 -2.304550
0.363770 -0.457303 -2.174675
0.364258 -0.494399 -2.043062
0.364746 -0.533068 -1.912958
0.365234 -0.572786 -1.778726
0.365723 -0.602837 -1.640810
0.366211 -0.630678 -1.510613
0.366699 -0.661778 -1.383137
0.367188 -0.691641 -1.254382
0.367676 -0.720381 -1.125336
0.368164 -0.747285 -0.996443
0.368652 -0.772764 -0.871298
0.369141 -0.797644 -0.748428
0.369629 -0.817504 -0.626552
0.370117 -0.836351 -0.505330
0.370605 -0.852388 -0.383768
0.371094 -0.862805 -0.263349
0.371582 -0.873222 -0.144560
